gene_id,gene_name,nreg_Rest,resid_Rest,nreg_Stim8hr,resid_Stim8hr,nreg_Stim48hr,resid_Stim48hr,nreg_total,resid_total,baseMean,ess_hart,ess_cegv2,noness_negv1,shet
ENSG00000006744,ELAC2,61,-20.49342204923518,58,-52.349259733124214,124,31.307901678284452,243,-41.53478010407494,91.41571465601054,False,True,False,0.00221841
ENSG00000006747,SCIN,-1,-16.71815075037094,-1,-21.166232290436266,1,-10.450703026551006,-1,-48.33508606735821,0.5678092300613001,False,False,False,0.00032099
ENSG00000006757,PNPLA4,35,-2.4329517443373376,49,-7.784074858291689,40,-8.781835989082353,124,-18.99886259171138,13.184369208851123,False,False,False,0.00198651
ENSG00000006831,ADIPOR2,75,5.754541959478033,75,-23.07641537817173,80,-2.904219865370976,230,-20.226093284064675,63.38147821180785,False,False,False,0.10809743
ENSG00000007038,PRSS21,-1,-22.825819500608148,4,-40.1613553793181,4,-29.31214145482013,7,-92.29931633474638,4.916379264839667,False,False,False,0.00091201
ENSG00000007080,CCDC124,88,12.421252220937276,98,-19.99907758336643,102,0.4258747182574041,288,-7.151950644171748,104.76368578500905,False,False,False,0.00361116
ENSG00000007129,CEACAM21,48,7.005054682088314,35,-12.867895349654589,46,10.859601719315492,129,4.996761051749218,8.602210036877436,False,False,False,0.0003991
ENSG00000007168,PAFAH1B1,50,-55.15265519869084,95,-24.853607966276513,52,-66.19120170392485,197,-146.1974648688922,150.61185736646252,False,True,False,0.70793684
ENSG00000007202,BLTP2,67,-23.87601493407925,107,-25.07552261054056,123,7.999097743695927,297,-40.952439800923884,152.85438651895257,False,False,False,0.03982523
ENSG00000007255,TRAPPC6A,107,43.11923286105973,104,36.59379597154046,119,58.227835300441036,330,137.94086413304123,29.688553490960043,False,False,False,0.00084265
ENSG00000007264,MATK,56,26.118482046165628,148,69.8122565245498,64,29.071865133606273,268,125.0026037043217,16.115616441976726,False,False,False,0.01397852
ENSG00000007312,CD79B,84,17.70291216290933,96,28.502174061325377,86,19.89085382018972,266,66.09594004442442,33.43734515857823,False,False,False,0.3297396
ENSG00000007341,ST7L,44,9.911445164410743,50,1.078305780667712,21,-8.308472229925858,115,2.6812787151525974,6.348918178254878,False,False,False,0.00201676
ENSG00000007376,RPUSD1,18,-24.857150347075546,70,-2.5781949543254683,19,-14.115266192275378,107,-41.55061149367639,15.525299866993944,False,False,False,0.00041645
ENSG00000007392,LUC7L,64,-7.198554015059841,108,0.947518983728699,57,-10.646971055064313,229,-16.898006086395455,64.51967900681478,False,False,False,0.07475794
ENSG00000007520,TSR3,59,-29.8112453145673,93,-32.23442794907507,79,-19.676399714035384,231,-81.72207297767775,123.34855737688683,False,False,False,0.00242927
ENSG00000007541,PIGQ,14,-35.54599241588744,40,-26.353525571447932,26,-12.691833469685157,80,-74.59135145702052,16.179182573293428,False,False,False,0.00501526
ENSG00000007545,CRAMP1,38,-23.581417849925373,50,-31.88985608976681,66,10.488120425259773,154,-44.98315351443241,33.12884840904122,False,False,False,0.04472938
ENSG00000007944,MYLIP,75,30.222488795790184,71,20.278422268249315,36,-2.2303154689456193,182,48.27059559509388,10.68531921324275,False,False,False,0.03773133
ENSG00000007968,E2F2,117,35.092127618369844,65,10.460738448306735,57,6.58843443639924,239,52.14130050307582,33.16591849777617,False,False,False,0.03840513
ENSG00000008018,PSMB1,144,19.063765128210377,95,-58.64188671080649,144,-35.08124217420607,383,-74.65936375680218,339.52003964507725,False,True,False,0.24226382
ENSG00000008083,JARID2,93,26.31906562889162,206,86.3237593595005,89,0.04324383803174214,388,112.68606882642386,91.59115640262159,False,False,False,0.19704297
ENSG00000008086,CDKL5,12,-7.78740409672379,32,7.686060001945265,15,-0.46256515993209213,59,-0.5639092547106177,1.1035755165682486,False,False,False,0.56524291
ENSG00000008128,CDK11A,15,-18.39196222318062,11,-37.86364477030815,12,-15.533558303049201,38,-71.78916529653797,5.951931917996321,False,False,False,0.00168562
ENSG00000008130,NADK,34,-29.24079268000378,86,-9.563239788640786,55,-10.591953693249096,175,-49.39598616189366,47.992300315870814,False,False,False,0.01971658
ENSG00000008256,CYTH3,4,-13.990638688233496,15,-17.76750265868501,4,-7.770331825511409,23,-39.52847317242991,1.1617290808627252,False,False,False,0.14254859
ENSG00000008277,ADAM22,47,24.145782810542872,38,3.9325490496605866,49,30.634791373066516,134,58.713123233269975,2.002151548936741,False,False,False,0.04674347
ENSG00000008282,SYPL1,33,-6.382627470447396,54,-4.682870881769574,48,-3.889670076143581,135,-14.955168428360551,15.101119138026078,False,False,False,0.01839622
ENSG00000008283,CYB561,50,12.322046269786767,71,35.972114198676046,45,29.304617158878912,166,77.59877762734172,3.8832858869361364,False,False,False,0.03417892
ENSG00000008294,SPAG9,58,-10.203221239861278,116,29.378712468077495,44,-43.485227035494944,218,-24.309735807278727,57.09073730844945,False,False,False,0.25390959
ENSG00000008300,CELSR3,6,-14.128202381298571,12,-34.49307565081067,6,-19.712465705887364,24,-68.3337437379966,3.873465060750797,False,False,False,0.08206019
ENSG00000008311,AASS,17,4.6229421083752875,19,-0.4877395162417564,18,-0.057970603278420185,54,4.077231988855111,0.8509642858613204,False,False,False,0.00647727
