gene_id,gene_name,n_regulators,resid_responsiveness,my_gene_response,essential_hart,shet
ENSG00000176273,SLC35G1,117.0,-1.2147737324991645,76.0,False,0.02515339
ENSG00000176340,COX8A,377.0,-14.99045407053481,222.0,False,0.00803055
ENSG00000176371,ZSCAN2,73.0,-47.36608404344491,58.0,False,0.01456687
ENSG00000176386,CDC26,108.0,-99.42671649783756,65.0,False,0.0907233
ENSG00000176390,CRLF3,140.0,-93.20058678942304,96.0,False,0.0327584
ENSG00000176393,RNPEP,179.0,-27.76461076781139,113.0,False,0.00212763
ENSG00000176396,EID2,101.0,-81.48336147774921,66.0,False,0.05154525
ENSG00000176401,EID2B,47.0,-34.6088099979108,31.0,False,
ENSG00000176407,KCMF1,121.0,-138.15523091911305,71.0,False,0.32431627
ENSG00000176410,DNAJC30,51.0,-71.35129028959362,31.0,False,0.01584316
ENSG00000176422,SPRYD4,141.0,-7.9602478666413745,87.0,False,0.00458123
ENSG00000176438,SYNE3,378.0,39.662316512751374,259.0,False,0.00032274
ENSG00000176444,CLK2,25.0,-70.02068153452609,13.0,False,0.24130758
ENSG00000176454,LPCAT4,172.0,-15.944736615505015,105.0,False,0.06328819
ENSG00000176463,SLCO3A1,173.0,28.016125001050668,113.0,False,0.03935847
ENSG00000176472,ZNF575,55.0,-25.340285913549103,35.0,False,0.00447137
ENSG00000176473,WDR25,83.0,-44.17782726186231,50.0,False,0.00130123
ENSG00000176476,SGF29,138.0,-24.46703501362925,78.0,False,0.02949665
ENSG00000176485,PLAAT3,218.0,126.00536563292796,135.0,False,0.00090023
ENSG00000176542,USF3,133.0,-70.25092420681779,93.0,False,0.13615494
ENSG00000176595,KBTBD11,175.0,96.49004149742903,106.0,False,0.02393267
ENSG00000176597,B3GNT5,216.0,75.0905123463641,144.0,False,0.06577627
ENSG00000176619,LMNB2,295.0,-0.9203749081191575,179.0,False,0.26136294
ENSG00000176623,RMDN1,230.0,0.47554627378610803,148.0,False,0.0003921
ENSG00000176624,MEX3C,222.0,-59.5373783105089,147.0,False,0.13769584
ENSG00000176658,MYO1D,220.0,98.57367681844806,156.0,False,0.01400339
ENSG00000176715,ACSF3,236.0,17.782811610043993,153.0,False,0.00035438
ENSG00000176731,RBIS,69.0,-107.81974088540551,49.0,False,0.00428242
ENSG00000176749,CDK5R1,129.0,20.426316277559028,92.0,False,0.36733225
ENSG00000176783,RUFY1,221.0,-31.663598573890127,133.0,False,0.01537796
ENSG00000176788,BASP1,3.0,-36.46958860981562,3.0,False,0.21772996
ENSG00000176809,LRRC37A3,28.0,-19.757646501333497,15.0,False,0.00099271
ENSG00000176834,VSIG10,149.0,77.23442422175242,95.0,False,0.00427805
ENSG00000176842,IRX5,31.0,-9.477255465751215,16.0,False,0.09216483
ENSG00000176845,METRNL,393.0,218.36203714882672,246.0,False,0.08832515
ENSG00000176853,FAM91A1,193.0,-96.7502455072241,127.0,False,0.04411581
ENSG00000176871,WSB2,456.0,74.17582967706112,304.0,False,0.08230536
ENSG00000176890,TYMS,587.0,19.347360628219462,357.0,False,0.09332026
ENSG00000176896,TCEANC,44.0,-43.22870041921231,30.0,False,0.00403214
ENSG00000176903,PNMA1,213.0,38.113908183856836,146.0,False,0.03330644
ENSG00000176915,ANKLE2,252.0,-55.43963566017909,163.0,False,0.01261574
ENSG00000176928,GCNT4,85.0,31.657952170750896,56.0,False,0.005119
ENSG00000176945,MUC20,92.0,33.84114257943283,53.0,False,0.00822788
ENSG00000176946,THAP4,102.0,-90.97438956784036,73.0,False,0.04492862
ENSG00000176953,NFATC2IP,179.0,-77.85367459267687,100.0,False,0.0046982
ENSG00000176973,FAM89B,254.0,71.3120009110282,163.0,False,0.00794053
ENSG00000176974,SHMT1,169.0,-23.913952237232024,107.0,False,0.00321644
ENSG00000176978,DPP7,292.0,-0.10838734206728873,186.0,False,0.00024954
ENSG00000176986,SEC24C,146.0,-128.6151938421326,95.0,False,0.18144107
ENSG00000176994,SMCR8,133.0,-67.61738202703924,88.0,False,0.01825165
ENSG00000177000,MTHFR,177.0,6.123307012297623,116.0,False,0.00796182
ENSG00000177025,C19orf18,18.0,-15.848066227335128,11.0,False,0.0004966
ENSG00000177030,DEAF1,292.0,52.95958966307576,191.0,False,0.03110668
ENSG00000177034,MTX3,540.0,233.53081243665437,350.0,False,0.00217822
ENSG00000177042,TMEM80,162.0,31.694979450991703,104.0,False,0.00157439
ENSG00000177051,FBXO46,166.0,-59.41467721725918,121.0,False,0.11058106
ENSG00000177054,ZDHHC13,167.0,-68.5005744892944,115.0,False,0.00184501
ENSG00000177058,SLC38A9,152.0,-31.449205410877425,103.0,False,0.01787826
ENSG00000177082,WDR73,75.0,-86.70071776149798,51.0,False,0.00042679
ENSG00000177084,POLE,138.0,-58.48293877002108,96.0,False,0.01457693
ENSG00000177105,RHOG,363.0,-17.737078559213742,236.0,False,0.14216021
ENSG00000177119,ANO6,211.0,16.310896210015216,136.0,False,0.00569505
ENSG00000177125,ZBTB34,46.0,-72.33042001671478,29.0,False,0.40592621
ENSG00000177156,TALDO1,335.0,44.0934068932295,209.0,False,0.00716238
ENSG00000177169,ULK1,213.0,49.46609240526267,137.0,False,0.04672019
ENSG00000177181,RIMKLA,134.0,42.28497435897674,104.0,False,0.01693972
ENSG00000177192,PUS1,342.0,77.59119638097488,211.0,False,0.00445434
ENSG00000177225,GATD1,135.0,-48.071049709538954,78.0,False,0.01621639
ENSG00000177239,MAN1B1,177.0,-12.004891619267774,117.0,False,0.00251166
ENSG00000177272,KCNA3,260.0,81.33954805479291,162.0,False,0.08983067
ENSG00000177301,KCNA2,63.0,15.290357981234077,37.0,False,0.1667651
ENSG00000177303,CASKIN2,67.0,9.991476049926256,53.0,False,0.12334774
ENSG00000177311,ZBTB38,216.0,63.40711629711876,145.0,False,0.19047525
ENSG00000177352,CCDC71,38.0,-88.18727968250975,26.0,False,0.04389257
ENSG00000177374,HIC1,165.0,59.13865776756637,114.0,False,0.17246839
